,ID,User,Tweets,fav_count,rt_count,tweet_date
0,1259883766320750592,M.M.,"@RepSwalwell Barr’s America is not a place that anyone, including Trump voters, should want to go, wrote Donald Ayer, who served as deputy attorney general under the first President Bush. 

It is a banana republic where all are subject to the whims of a dictatorial president and his henchmen.",1,0,2020-05-11 16:31:12
1,1259883745655443457,निशाचर,@dhaikilokatweet Donald trump as amitabh bachhan 😂,0,0,2020-05-11 16:31:07
2,1259883726844186624,Mike Sullivan,Supreme Court battle over Donald Trump's finances carries risks for all three branches https://t.co/hiokCNdsjA,0,0,2020-05-11 16:31:02
3,1259883718602301440,Roger Glover,@JTmor @PPCGK I voten Donald Trump. He's the first president that cares and works for the people. The others cared more about others and their own wealth 👍💪,0,0,2020-05-11 16:31:00
4,1259883710851149825,Christopher Kneisel,@gay_seniors @realDonaldTrump Any donald trump “presidential” library should House trump’s two coloring books in a lean-to built in Siberia.,0,0,2020-05-11 16:30:58
5,1259883710331092992,vote,@malo_wee5 @MidwinCharles And a Donald Trump supporter that’s was given the job by the governor,0,0,2020-05-11 16:30:58
6,1259883696095744000,Greg&Edith,@nwgoboating So what’s the solution to make CBS and all the other fake news concerns get it straight? I want to say we just stop watching them all together but that would only include people who like our President Donald J Trump.,0,0,2020-05-11 16:30:55
7,1259883692043968512,claud wei,"Donald Trump is 'glum' because 80,000 dead Americans is cutting into his own popularity https://t.co/eQkvoXT2tW",0,0,2020-05-11 16:30:54
8,1259883684980801536,America Awake🇺🇸F-Trump🖕🏻,@TeamTrump Lmao that looks like shit. It’s cheap and tacky just like the red hats and Trump himself. Lol dumbass morons. F*ck Donald Trump #TrumpsJealousOfObama #TrumpIsTheWORSTPresidentEVER #MAGA,0,0,2020-05-11 16:30:52
9,1259883680404824069,kaiju8,"@lroy479 @SenGillibrand ""Donald Trump admitted on Monday that making it easier to vote in America would hurt the Republican party. The things they had in there were crazy. They had things, levels of voting that if you’d ever agreed to it, you’d never have a Republican elected in this country again,”",0,0,2020-05-11 16:30:51
10,1259883678374608898,Emily_Cartoons,"Donald Trump is 'glum' because 80,000 dead Americans is cutting into his own popularity https://t.co/dmPy0wlzBU",0,0,2020-05-11 16:30:51
11,1259883678093770753,Mohan.G.Srinivasan,"@ACLJ @570TheAnswer 

Obama, Biden, Comey, McCabe, Yates:
Organized Crime against General Flynn, Carter Page, Donald Trump !

Makes Nixon watergate like Cub Scout picnic

When is “all the president’s men” 2 coming out?

GITMO reopened and filled with The Obama regime ?",0,0,2020-05-11 16:30:51
12,1259883673756860416,Dennis Murphy,Donald Trump Signals ‘Obamagate’ Investigation: ‘He Got Caught’ https://t.co/HEckAPOG7N,0,0,2020-05-11 16:30:49
13,1259883657113874434,Willie Lee Davis,"History will remember the Republican Party and other Donald Trump sycophants, apologists and doormats. #DumpTrumpandBarr

https://t.co/SHlu6mPCsV",0,0,2020-05-11 16:30:46
14,1259883656279138312,Jeroen Ossendrijver,"@Mawufeasi @vanLottegetikt @erikmouthaanRTL Donald Trump:
""But that’s a little bit like the flu.  It’s a little like the regular flu that we have flu shots for.  And we’ll essentially have a flu shot for this in a fairly quick manner""
 from a whitehouse transcript. Now please crawl back in your president's hideyhole",0,0,2020-05-11 16:30:45
15,1259883653728882688,Steve Weinstein,"Donald Trump is 'glum' because 80,000 dead Americans is cutting into his own popularity https://t.co/K9yQQbG4w9",0,0,2020-05-11 16:30:45
16,1259883631859859459,🇺🇸 Tom W. A.S.S.H.O.L.E. 🐱🐈🐾,"@KentuckyGoddess 2015 . Donald J Trump announced he was running for President

That's ""when""... Because, orange man bad, you see",0,0,2020-05-11 16:30:39
17,1259883622020067335,johb handson,"@LilBreigh @K_Eff3Kt @mr_zed77 @Michelleheald6 @InnocentUntilP2 @elajois @Bright19Rainbow @10MJinnocent @StayHome_2020 @Youthquake9 @jacarpb @BeMoreFox @flowersinhaire @davo_ww @MikeHun93438508 @NowMok @Bifjana @ReceiptHolder @mjgulityashell @JezziiX @gridlerbing @Butterf48741026 @glowtree3 @dash4442 @captain_january @DelermeElodie @DrLuLu_LoveTips @Arthurd19261498 @JisWhy @ShaBal20 @JimClemente @Gianni24009450 @K_3ffeKt @Akaurer @AntonTerry85 @LaReinaBoricua @vegansince96 @thebiebz2100 @joeleigh95 @Cecelia78932677 @metalmaidenco @BeastiesRunDmc2 @bigwing_13 @BelieveVictims @syl289 @HASAGMA @RetroArcadeMan @icygyal @Nick07356429 @YouTube Ok. Details. You're being vague. I want to hear your process. Don't pull a donald Trump. I don't care how sure you are of your belief, I want to know what got you there",0,0,2020-05-11 16:30:37
18,1259883608275206144,🇺🇸 Patriot's Notebook 🇺🇸,Donald Trump Signals ‘Obamagate’ Investigation: ‘He Got Caught’ @realDonaldTrump INVESTAGATE @BarackObama - #Prosecute ANY wrong-doing. #NoMercy.         https://t.co/kdsgIDQvhA,0,0,2020-05-11 16:30:34
19,1259883586817310721,Deenie,Donald Trump Signals ‘Obamagate‘ Investigation: ‘He Got Caught‘ https://t.co/b9WMDrlbu0 via @BreitbartNews,1,1,2020-05-11 16:30:29
20,1259883582413320199,T Alcazar,"Donald Trump is 'glum' because 80,000 dead Americans is cutting into his own popularity https://t.co/xYefdvhEpE",0,0,2020-05-11 16:30:28
21,1259883576314626054,Ann Frazier,"@Proven_Right Excuse me, whining incompetent Liberals,  but exactly who is the mayor of Atlanta and supposedly in control of that city?  It sure isn’t Donald Trump, is it?

If KLB can’t get the job done, the person to blame it on is the one she sees in the mirror!",0,0,2020-05-11 16:30:26
22,1259883574632812547,Debasis,"@TheBombayBombil @whtthefcuk @ShefVaidya @MumbaiPolice @OfficeofUT @AmitShah Let Donald Trump,world bank and FBI decide🤣🤣.Mr Dentist(Fake doctor)you are behaving like Maharashtra DGP.Just calm down. Nobody cares for your tweet including the Bombay p0lice
You are spamming here like a kid😆😆.",0,0,2020-05-11 16:30:26
23,1259883567766745090,Mourning in Colorado,"Never forget, our president is a criminal: https://t.co/OFPuo6NTA5 #copolitics",0,0,2020-05-11 16:30:24
24,1259883558027624449,Capitano,Donald Trump blasts Obama after leaked call captures ex-president slamming America’s ‘chaotic’ coronavirus res https://t.co/WM2rCYiRbA,0,0,2020-05-11 16:30:22
25,1259883556131803146,GARY BARBER,"Donald trump needs to stay out of jail and if republicans lose he and his grifter children will do just that, go to jail.  He needs your support to continue his crime spree https://t.co/2opp1eE0fT",0,0,2020-05-11 16:30:21
26,1259883551975227400,SEND MORE TAX PAYER AID TO FOREIGN GAS COMPANIES!,"@realTT2020 @realDonaldTrump Obama is a vindictive narcissist on top of being a sell out and warmongering hypocrite. Oh, Obama is going to close GITMO and stop the Middle East wars ""ANY DAY NOW"".

#ObaMAGAte

https://t.co/9Lyb5ovB9s",0,0,2020-05-11 16:30:20
27,1259883548326146048,Chuck Davis,"...rice-o-ronies. I don't care if businessman Donald Trump conducts business with Chinese financial institutions, I respect the fact that Donald Trump stand his ground as the legitimate 45th President of the United States to tell China to straighten up &amp; fly right. You feel me?",0,0,2020-05-11 16:30:20
28,1259883534056960000,BottleOfSquid,"@realDonaldTrump Trump's family and close aides have the virus and now they want you to have it, too! They're rich. They'll be taken care of. You'll die. You wanna die for Donald Trump!?",0,0,2020-05-11 16:30:16
29,1259883532337311745,Tom,@the_resistor @realDonaldTrump Resistor Sister i have to say you have been doing an excellent job of letting Donald Trump know what time it is and also letting the American people know the truth about this racist loser .. keep up the great work we all appreciate it,0,0,2020-05-11 16:30:16
30,1259883528902279169,Covie,"@glennresists3 You may not have known this but, Jair Bolsonaro is how you say Donald Trump in Portuguese.",0,0,2020-05-11 16:30:15
31,1259883511449780225,Vic Independent,"@realDonaldTrump Something is definitely wrong with Trump.
https://t.co/UTUrvcOLY1",0,0,2020-05-11 16:30:11
32,1259883502033502220,Lily,@mpukita @0045James Donald J Trump is the best POTUS in history! 4 more years!,0,0,2020-05-11 16:30:09
